ID,target,confidence
ID_6ij0wu,,0
ID_lzos7i,,0
ID_2jrjcu,,0
ID_n3p24j,,0
ID_5xq54g,,0
ID_8q2wdd,,0
ID_9xwn75,,0
ID_84xxr1,,0
ID_n2adqg,,0
ID_qgpdl5,,0
ID_60iur0,,0
ID_92bzrk,,0
ID_nzavur,,0
ID_8k89m9,,0
ID_f6vuha,,0
ID_r9c7y2,,0
ID_mmuq3i,,0
ID_7lnl5x,,0
ID_nn2jgv,,0
ID_ymuijc,,0
ID_m1y1x7,,0
ID_i4880j,,0
ID_7htgyn,,0
ID_ynbj0f,,0
ID_t2g85j,,0
ID_ir85t1,,0
ID_jil3ui,,0
ID_pmyqe6,,0
ID_xoshcc,,0
ID_k7dka1,,0
ID_0nl1us,,0
ID_ls0l6h,,0
ID_36caw3,,0
ID_dkxzp2,,0
ID_ouka8p,,0
ID_v9mmvo,,0
ID_jq2mln,,0
ID_rz4q1i,,0
ID_ob5uh8,,0
ID_wmxflx,,0
ID_0ygyry,,0
ID_xqg4qy,,0
ID_yte9fi,,0
ID_kolhna,,0
ID_fwr8d1,,0
ID_qyks1o,,0
ID_avod5c,,0
ID_hm3ag3,,0
ID_gtjs9v,,0
ID_y2gyir,,0
ID_0e1692,,0
ID_cmlzob,,0
ID_9icokh,,0
ID_xwqe8e,,0
ID_lk3d8r,,0
ID_lrm0l2,,0
ID_pyl4dw,,0
ID_d6jxfi,,0
ID_z4er4q,,0
ID_oe55ty,,0
ID_lv2xq0,,0
ID_ev022j,,0
ID_zd30rk,,0
ID_1v9m8c,,0
ID_1nquii,,0
ID_5mi42r,,0
ID_6w9dpa,,0
ID_rkis7l,,0
ID_tqwd6f,,0
ID_vz6xpm,,0
ID_p2t8j4,,0
ID_epwaj4,,0
ID_4gj18x,,0
ID_pd92ns,,0
ID_4drgbo,,0
ID_hepywb,,0
ID_8mjxuy,,0
ID_njrdgw,,0
ID_khgmea,,0
ID_n86l9f,,0
ID_19qoz0,,0
ID_y6j56t,,0
ID_ef3csh,,0
ID_pwk81i,,0
ID_scnekz,,0
ID_e66czu,,0
ID_5ttyi6,,0
ID_99a106,,0
ID_b4khkp,,0
ID_6au64h,,0
ID_fvxee7,,0
ID_t4tmay,,0
ID_1zc74g,,0
ID_9ffyvh,,0
ID_qn05gt,,0
ID_feypoq,,0
ID_h16te3,,0
ID_kyz0tk,,0
ID_7xncyz,,0
ID_dcqdd8,,0
ID_il21nb,,0
ID_x3mt6x,,0
ID_huo7ka,,0
ID_y9i7yl,,0
ID_7g516s,,0
ID_961fkt,,0
ID_xelbg9,,0
ID_f94f75,,0
ID_a0lfjf,,0
ID_tby8b2,,0
ID_xcazv7,,0
ID_vs33bk,,0
ID_v3ywb6,,0
ID_5w5ory,,0
ID_wbkpqr,,0
ID_eaz2o9,,0
ID_54c44z,,0
ID_yxh0yb,,0
ID_ir6k9t,,0
ID_578hfl,,0
ID_71sj1e,,0
ID_58vh5l,,0
ID_abslk9,,0
ID_wyg8l1,,0
ID_juohf2,,0
ID_6mtndr,,0
ID_t7f5bf,,0
ID_fi6tkp,,0
ID_hibluw,,0
ID_gd2ut7,,0
ID_q3vfnp,,0
ID_9s25zm,,0
ID_wtg02g,,0
ID_im83op,,0
ID_imvgr7,,0
ID_yq13oo,,0
ID_n8x6bg,,0
ID_ggtw5z,,0
ID_myq2vv,,0
ID_qqp90e,,0
ID_u3f6t6,,0
ID_en0ry2,,0
ID_v19ha9,,0
ID_bgcuhx,,0
ID_pwg3f6,,0
ID_4zf9hu,,0
ID_xrqrl4,,0
ID_ghw63k,,0
ID_y32pa4,,0
ID_h0phur,,0
ID_yd1pv7,,0
ID_0e8xkx,,0
ID_sopngp,,0
ID_lai21l,,0
ID_i3t9ga,,0
ID_dt0xrs,,0
ID_m8rczg,,0
ID_rszioi,,0
ID_c76n8j,,0
ID_x09dgx,,0
ID_46ldur,,0
ID_ftphdb,,0
ID_hbf518,,0
ID_xuzd55,,0
ID_hzz8co,,0
ID_cea4co,,0
ID_k0ihr9,,0
ID_4m1n42,,0
ID_cebx2e,,0
ID_5ohxi1,,0
ID_ogkm53,,0
ID_5jjely,,0
ID_3w11tv,,0
ID_2kmuvr,,0
ID_3wf097,,0
ID_e1q5g2,,0
ID_buo27z,,0
ID_adrfim,,0
ID_rfu8sl,,0
ID_awttrk,,0
ID_apqu9w,,0
ID_9m3uve,,0
ID_87ora1,,0
ID_tie44l,,0
ID_e8dd7c,,0
ID_645x24,,0
ID_eou7jc,,0
ID_dfs7hv,,0
